Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum
27,0,0,14,4,2,3,2469.2949954648684,2404,0.5254890345794935,20,0.19657593367458698,0.0,0.0737488662171576,0.0,0.0,0.9262511337828424,0.0,0.0,0.9262511337828424,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40,1,2,33,1,3,3,1660.6757819922952,0,0.7750981694909244,48,0.7316006280627496,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40,0,5,36,2,2,3,2849.0,1741,0.791,99,0.768,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
42,0,4,27,5,3,4,31864.0,0,1.009,35,0.75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
44,1,3,36,6,2,4,1713.0,0,0.678,66,1.062,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
61,0,2,49,3,0,4,11374.0,2517,1.015,26,1.167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33,0,3,36,6,3,5,7140.0,0,0.401,18,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,0,1,33,5,2,3,18280.182769670395,763,0.4909057055265869,47,0.47912863791477056,0.0,0.21507567140163397,0.784924328598366,0.0,0.0,0.0,0.0,0.21507567140163397,0.0,0.784924328598366,0.0,0.21507567140163397,0.784924328598366,0.0,0.784924328598366,0.0,0.0
60,0,0,42,3,3,4,1438.3,0,0.6618345225585598,46,0.42692642638528616,0.0,0.0,0.0,0.8780655672797438,0.12193443272025617,0.0,0.0,0.0,0.12193443272025617,0.0,0.8780655672797438,0.0,1.0,0.0,1.0,0.0,0.0
59,1,0,46,5,1,4,5402.0,892,0.782,83,0.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
37,1,2,26,3,2,3,12366.733582268758,0,0.7803231323172682,35,0.37469104632923833,0.0,0.34813431840231823,0.0,0.0,0.0,0.0,0.0,0.6518656815976818,0.34813431840231823,0.0,0.0,0.6518656815976818,0.34813431840231823,0.0,1.0,0.0,0.0
33,1,2,27,3,2,3,7185.0,0,1.504,45,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,0,4,36,4,3,2,34516.0,2517,0.841,66,0.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
44,1,1,31,2,2,3,4553.0,1538,0.514,95,0.557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
36,1,2,23,5,2,3,6966.0,905,0.755,69,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
32,0,1,18,5,3,2,6276.0,2289,0.637,68,0.388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
58,0,1,36,3,2,5,2165.0,1135,0.707,33,0.833,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
46,1,4,26,6,1,3,1859.0,1379,0.836,72,0.714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
57,1,2,44,2,2,3,9149.0,1254,0.762,100,0.754,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
58,1,1,46,6,3,3,3035.0,1779,0.851,83,0.93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
42,0,3,34,1,3,3,5194.9143468102575,468,0.567134114862886,48,0.23131161982847062,0.9994364921727475,0.0,0.0,0.0,0.0005635078272524519,0.0,0.0,0.0,0.0005635078272524519,0.0,0.9994364921727475,0.0,1.0,0.0,1.0,0.0,0.0
45,0,3,26,3,2,2,18410.0,974,0.857,83,0.694,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
53,1,1,39,2,3,3,2164.0,1115,0.624,69,0.643,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,1,3,41,4,3,3,3788.0,1540,0.566,47,0.382,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
49,1,1,36,3,2,2,1797.7436757098449,0,0.6140832824896232,48,0.5161410392720069,0.0,0.34295946373061637,0.0,0.0,0.6570405362693836,0.0,0.0,0.0,0.6570405362693836,0.34295946373061637,0.0,0.0,0.34295946373061637,0.6570405362693836,1.0,0.0,0.0
45,1,2,37,6,2,2,6091.0,0,0.56,60,0.579,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
42,1,4,36,6,2,2,2803.0,0,0.623,40,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40,0,5,27,5,2,3,31954.0,2297,0.516,82,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,1,3,32,5,6,3,3221.0,0,0.678,40,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
49,0,2,36,4,2,0,19763.0,2517,0.664,35,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
42,0,0,38,2,2,3,24300.932902221895,76,0.9254084785341081,69,0.7765953116579586,0.0,0.0,0.16212801628768747,0.8378719837123125,0.0,0.0,0.0,0.8378719837123125,0.16212801628768747,0.0,0.0,0.0,0.8378719837123125,0.16212801628768747,1.0,0.0,0.0
44,0,3,34,5,3,3,14201.0,0,0.574,47,0.679,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
38,1,3,30,3,2,3,2435.0,2432,0.12,32,0.103,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
42,1,3,36,5,2,3,1452.6551457663115,0,0.5692476150045281,42,0.48218003515632407,0.0,0.8689708467376769,0.0,0.0,0.13102915326232312,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8689708467376769,0.13102915326232312,1.0,0.0,0.0
40,0,3,26,2,2,1,6829.8535903788015,2229,0.6876382638859453,53,0.47934625681119275,0.0,0.0,0.7752854616159806,0.0,0.0,0.0,0.0,0.22471453838401945,0.7752854616159806,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
